pr_path,pr_number,created,total_comments,pr_lines_changed
/ananyeet/step/pull/8,8,2020-06-01T22:48:32Z,22,42
/ananyeet/step/pull/9,9,2020-06-02T00:33:16Z,19,26
/ananyeet/step/pull/10,10,2020-06-02T20:56:42Z,0,75
/ananyeet/step/pull/11,11,2020-06-03T19:52:26Z,1,2
/ananyeet/step/pull/12,12,2020-06-03T20:49:37Z,9,176
/ananyeet/step/pull/13,13,2020-06-04T20:23:13Z,14,149
/ananyeet/step/pull/14,14,2020-06-08T17:41:58Z,0,230
/ananyeet/step/pull/15,15,2020-06-08T19:01:03Z,5,364
/ananyeet/step/pull/16,16,2020-06-10T18:48:25Z,0,252
/SeanT18/step/pull/1,1,2020-05-26T18:48:50Z,5,6
/SeanT18/step/pull/2,2,2020-05-27T19:23:22Z,22,107
/SeanT18/step/pull/3,3,2020-05-29T15:06:37Z,6,37
/SeanT18/step/pull/4,4,2020-05-29T22:36:18Z,18,80
/SeanT18/step/pull/5,5,2020-06-01T17:32:14Z,0,4
/SeanT18/step/pull/6,6,2020-06-01T21:47:43Z,15,25
/SeanT18/step/pull/7,7,2020-06-02T17:08:03Z,38,352
/SeanT18/step/pull/8,8,2020-06-04T15:35:15Z,17,34
/SeanT18/step/pull/9,9,2020-06-04T17:40:33Z,10,51
/SeanT18/step/pull/10,10,2020-06-08T21:25:26Z,41,133
/SeanT18/step/pull/11,11,2020-06-10T20:56:30Z,2,71
/brettallenyo/step2020/pull/1,1,2020-05-31T22:57:24Z,1,116
/brettallenyo/step2020/pull/2,2,2020-06-01T19:45:59Z,23,1262
/brettallenyo/step2020/pull/3,3,2020-06-02T05:11:45Z,1,14
/brettallenyo/step2020/pull/4,4,2020-06-02T20:25:20Z,1,68
/brettallenyo/step2020/pull/5,5,2020-06-02T20:40:23Z,2,72
/brettallenyo/step2020/pull/6,6,2020-06-02T21:03:22Z,5,119
/brettallenyo/step2020/pull/7,7,2020-06-02T21:08:34Z,5,921
/brettallenyo/step2020/pull/8,8,2020-06-02T21:18:59Z,0,15
/brettallenyo/step2020/pull/9,9,2020-06-02T21:31:08Z,2,18
/brettallenyo/step2020/pull/10,10,2020-06-03T05:56:41Z,0,14
/brettallenyo/step2020/pull/11,11,2020-06-04T01:00:44Z,0,2
/brettallenyo/step2020/pull/12,12,2020-06-04T01:22:26Z,0,2
/brettallenyo/step2020/pull/13,13,2020-06-04T19:54:32Z,0,28
/brettallenyo/step2020/pull/14,14,2020-06-05T00:27:53Z,1,42
/brettallenyo/step2020/pull/15,15,2020-06-09T18:17:25Z,18,294
/John42506176Linux/step-2020/pull/1,1,2020-05-29T15:06:15Z,0,2
/John42506176Linux/step-2020/pull/2,2,2020-06-03T14:16:17Z,7,269
/brakiajackson/myportfolio/pull/1,1,2020-06-07T21:35:30Z,1,1290
/maricarol3355/step-intern-portfolio/pull/1,1,2020-05-29T15:03:34Z,2,135
/maricarol3355/step-intern-portfolio/pull/2,2,2020-06-03T00:31:01Z,4,44
/maricarol3355/step-intern-portfolio/pull/3,3,2020-06-04T20:25:56Z,3,48
/maricarol3355/step-intern-portfolio/pull/4,4,2020-06-09T21:02:07Z,1,196
/naaoli/step/pull/1,1,2020-06-01T18:32:27Z,1,29
/naaoli/step/pull/2,2,2020-06-03T18:37:24Z,0,2
/naaoli/step/pull/3,3,2020-06-04T19:25:33Z,3,22
/naaoli/step/pull/4,4,2020-06-04T19:42:50Z,1,33
/naaoli/step/pull/5,5,2020-06-05T19:33:09Z,1,33
